Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2,Rarity 3,Foiling 3,Art Variation 3,Artist 3,Flavor Text 3,Image URL 3
HVY150,HVY,Wage Might,2,3,6,2,,,"Brute, Guardian, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** a Might token with them.",Brute / Guardian Action - Attack,,,,,C,,,Septimius Ferdian,,/HVY150.png,,,,,,,,,,,,
HVY151,HVY,Wage Might,3,3,5,2,,,"Brute, Guardian, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** a Might token with them.",Brute / Guardian Action - Attack,,,,,C,,,Septimius Ferdian,,/HVY151.png,,,,,,,,,,,,
HVY152,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY153,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY154,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY155,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY156,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY157,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY158,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY159,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY160,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY161,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY162,HVY,Test of Agility,1,,,4,,,"Brute, Warrior, Block",Clash,,,,,,"When this defends, **clash** with the attacking hero. The winner creates an Agility token.",Brute / Warrior Block,,,,No,R,S,,Rio Sabda,,/HVY162.png,,,,,,,,,,,,
HVY163,HVY,Agile Windup,1,3,7,2,,,"Brute, Warrior, Action, Attack",,Instant,,,,,**Instant** - Discard this: Create an Agility token.,Brute / Warrior Action - Attack,,,,,C,,,Federico Musetti,,/HVY163.png,,,,,,,,,,,,
HVY164,HVY,Agile Windup,2,3,6,2,,,"Brute, Warrior, Action, Attack",,Instant,,,,,**Instant** - Discard this: Create an Agility token.,Brute / Warrior Action - Attack,,,,,C,,,Federico Musetti,,/HVY164.png,,,,,,,,,,,,
HVY165,HVY,Agile Windup,3,3,5,2,,,"Brute, Warrior, Action, Attack",,Instant,,,,,**Instant** - Discard this: Create an Agility token.,Brute / Warrior Action - Attack,,,,,C,,,Federico Musetti,,/HVY165.png,,,,,,,,,,,,
HVY166,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY167,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY168,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY169,HVY,Wage Agility,1,3,7,2,,,"Brute, Warrior, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** an Agility token with them.",Brute / Warrior Action - Attack,,,,,C,,,Marco Gonalez,,/HVY169.png,,,,,,,,,,,,
HVY170,HVY,Wage Agility,2,3,6,2,,,"Brute, Warrior, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** an Agility token with them.",Brute / Warrior Action - Attack,,,,,C,,,Marco Gonalez,,/HVY170.png,,,,,,,,,,,,
HVY171,HVY,Wage Agility,3,3,5,2,,,"Brute, Warrior, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** an Agility token with them.",Brute / Warrior Action - Attack,,,,,C,,,Marco Gonalez,,/HVY171.png,,,,,,,,,,,,
HVY172,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY173,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY174,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY175,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY176,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY177,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY178,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY179,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY180,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY181,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY182,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY183,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY184,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY185,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY186,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY187,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY188,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY189,HVY,Wage Vigor,1,3,7,2,,,"Guardian, Warrior, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** a Vigor token with them.",Guardian / Warrior Action - Attack,,,,,C,,,Mariusz Gandzel,,/HVY189.png,,,,,,,,,,,,
HVY190,HVY,Wage Vigor,2,3,6,2,,,"Guardian, Warrior, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** a Vigor token with them.",Guardian / Warrior Action - Attack,,,,,C,,,Mariusz Gandzel,,/HVY190.png,,,,,,,,,,,,
HVY191,HVY,Wage Vigor,3,3,5,2,,,"Guardian, Warrior, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** a Vigor token with them.",Guardian / Warrior Action - Attack,,,,,C,,,Mariusz Gandzel,,/HVY191.png,,,,,,,,,,,,
HVY192,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY193,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY194,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY195,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY196,HVY,Glory Seeker,,,,,,,"Generic, Equipment, Head",,Instant,,,,,"**Instant** - {r}{r}{r}, destroy this: Draw a card.",Generic Equipment - Head,,,,,C,,,Mariusz Gandzel,,https://storage.googleapis.com/fabmaster/cardfaces/2023-HVY/EN/HVY196.png,,,,,,,,,,,,
HVY197,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY198,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY199,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY200,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY201,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY202,HVY,Headliner Helm,,,,*,,,"Generic, Equipment, Head",Blade Break,,,,,,"Headliner Helm's {d} is equal to the number of opposing heroes with greater {h} than you.

**Blade Break**",Generic Equipment - Head,,,,,C,S,,Erick Efata,,/HVY202.png,,,,,,,,,,,,
HVY203,HVY,Stadium Centerpiece,,,,*,,,"Generic, Equipment, Chest",Blade Break,,,,,,"Stadium Centerpiece's {d} is equal to the number of opposing heroes with greater {h} than you.

**Blade Break**",Generic Equipment - Chest,,,,,C,S,,Mace Tan,,/HVY203.png,,,,,,,,,,,,
HVY204,HVY,Ticket Puncher,,,,*,,,"Generic, Equipment, Arms",Blade Break,,,,,,"Ticket Puncher's {d} is equal to the number of opposing heroes with greater {h} than you.

**Blade Break**",Generic Equipment - Arms,,,,,C,S,,Lizhe Liang,,/HVY204.png,,,,,,,,,,,,
HVY205,HVY,Grandstand Legplates,,,,*,,,"Generic, Equipment, Legs",Blade Break,,,,,,"Grandstand Legplates' {d} is equal to the number of opposing heroes with greater {h} than you.

**Blade Break**",Generic Equipment - Legs,,,,,C,S,,Kimberly Pantoni,,/HVY205.png,,,,,,,,,,,,
HVY206,HVY,Bloodied Oval,,,,*,,,"Generic, Equipment, Off-Hand",Blade Break,,,,,,"Bloodied Oval's {d} is equal to the number of opposing heroes with greater {h} than you.

**Blade Break**",Generic Equipment - Off-Hand,,,,,C,S,,Mariusz Gandzel,,/HVY206.png,,,,,,,,,,,,
HVY207,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY208,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY209,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY210,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY211,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY212,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY213,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY214,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY215,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HVY216, FAB196","HVY, FAB",Wage Gold,1,3,7,2,,,"Generic, Action, Attack","Universal, Wager",,,,,,"**Universal**

When this attacks a hero, you may **wager** a Gold token with them.",Generic Action - Attack,,,,,R,,,Tanapon Wachirakul,,/HVY216.png,R,R,EA,Tanapon Wachirakul,,/FAB196.png,,,,,,
"HVY217, FAB197","HVY, FAB",Wage Gold,2,3,6,2,,,"Generic, Action, Attack","Universal, Wager",,,,,,"**Universal**

When this attacks a hero, you may **wager** a Gold token with them.",Generic Action - Attack,,,,,R,,,Tanapon Wachirakul,,/HVY217.png,R,R,EA,Tanapon Wachirakul,,/FAB197.png,,,,,,
"HVY218, FAB198","HVY, FAB",Wage Gold,3,3,5,2,,,"Generic, Action, Attack","Universal, Wager",,,,,,"**Universal**

When this attacks a hero, you may **wager** a Gold token with them.",Generic Action - Attack,,,,,R,,,Tanapon Wachirakul,,/HVY218.png,R,R,EA,Tanapon Wachirakul,,/FAB198.png,,,,,,
HVY219,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY220,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY221,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY222,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY223,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY224,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY225,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY226,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY227,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY228,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY229,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY230,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY231,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY232,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY233,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY234,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY235,HVY,Money Where Ya Mouth Is,1,1,,2,,,"Generic, Action",Go again,,,Wager,,,"Your next attack this turn gets +3{p} and ""When this attacks a hero, you may **wager** a Gold token with them.""",Generic Action,,,,,C,S,,Athiwut B.,,/HVY235.png,,,,,,,,,,,,
HVY236,HVY,Money Where Ya Mouth Is,2,1,,2,,,"Generic, Action",Go again,,,Wager,,,"Your next attack this turn gets +2{p} and ""When this attacks a hero, you may **wager** a Gold token with them.""",Generic Action,,,,,C,,,Athiwut B.,,/HVY236.png,,,,,,,,,,,,
HVY237,HVY,Money Where Ya Mouth Is,3,1,,2,,,"Generic, Action",Go again,,,Wager,,,"Your next attack this turn gets +1{p} and ""When this attacks a hero, you may **wager** a Gold token with them.""",Generic Action,,,,,C,,,Athiwut B.,,/HVY237.png,,,,,,,,,,,,
"HVY238, LGS228","HVY, LGS",Starting Stake,2,0,,3,,,"Generic, Action",,,,,,,"If you control no Gold tokens, create a Gold token.",Generic Action,,,,,C,,,Isuardi Therianto,,/HVY238.png,P,S,,Isuardi Therianto,,/LGS228.png,,,,,,
HVY239,HVY,Test of Strength,1,,,4,,,"Generic, Block",Clash,,,,,,"When this defends, **clash** with the attacking hero. The winner creates a Gold token.",Generic Block,,,,,C,S,,Carlos Cruchaga,,/HVY239.png,,,,,,,,,,,,
HVY240,HVY,Agility,,,,,,,"Generic, Token, Aura",,,,Go again,,,"At the start of your turn, destroy this, then your next attack this turn gets **go again**.",Generic Token - Aura,,,,,T,S,,Tomasz Jedruszek,,/HVY240.png,,,,,,,,,,,,
HVY241,HVY,Might,,,,,,,"Generic, Token, Aura",,,,,,,"At the start of your turn, destroy this, then your next attack this turn gets +1{p}.",Generic Token - Aura,,,,,T,,,Henrique Lindner,,/HVY241.png,,,,,,,,,,,,
HVY242,HVY,Vigor,,,,,,,"Generic, Token, Aura",,,,,,,"At the start of your turn, destroy this, then gain {r}.",Generic Token - Aura,,,,,T,,,Rio Sabda,,/HVY242.png,,,,,,,,,,,,
HVY243,HVY,Gold,,,,,,,"Generic, Token, Item",Go again,,,,,,"**Action** - {r}{r}, destroy this: Draw a card. **Go again**",Generic Token - Item,,,,,T,S,,Stormy Elia Fanggidae,,/HVY243.png,,,,,,,,,,,,
HVY244,HVY,Cracked Bauble,2,,,,,,"Generic, Resource",,,,,,,,Generic Resource,,,,,T,,,Sam Yang,,/HVY244.png,,,,,,,,,,,,
HVY245,HVY,Graven Call,,,1,,,,"Assassin, Weapon, Dagger, 1H",Piercing 1,"Once per Turn Action, Instant","Attack, Go again",,,,"**Once per Turn Action** - {r}{r}: **Attack**. **Go again**

**Piercing 1**

**Instant** - Destroy 2 Silver you control: Equip this with a +1{p} counter. Activate this ability only while this is in your graveyard.",Assassin Weapon - Dagger (1H),,,,No,M,S,,Jessketchin,,/HVY245.png,,,,,,,,,,,,
HVY246,HVY,Coercive Tendency,3,0,,3,,,"Assassin, Attack Reaction",Arakni Specialization,,,Go again,,Contract,"**Arakni Specialization**

Look at the top 3 cards of the defending hero's deck. Put them back in any order, then banish the top card of their deck.

If you complete a **contract** this way, your Assassin attacks get **go again** this combat chain.",Assassin Attack Reaction,,,,No,M,S,,Mark Poole,,/HVY246.png,,,,,,,,,,,,
HVY247,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY248,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY249,HVY,"Judge, Jury, Executioner",1,1,5,3,,,"Ranger, Action, Arrow, Attack","Legendary, Azalea Specialization",,,,,,"**Legendary Azalea Specialization**

If this has an aim counter, it gets ""When this hits a hero, they discard all but 1 card from their hand.""",Ranger Action - Arrow Attack,,,,No,M,,,Jessada Sutthi,,/HVY249.png,,,,,,,,,,,,
HVY250,HVY,Reel In,3,X,,,,,"Ranger, Instant",Reload,,,,,,"Look at the top X+1 cards of your deck. Choose up to 4 traps, reveal them, put them into your hand, then shuffle.

**Reload**",Ranger Instant,,,,No,M,,,Kimberly Pantoni,,/HVY250.png,,,,,,,,,,,,
HVY251,HVY,Sonata Galaxia,1,XX,,2,,,"Runeblade, Action",Go again,,,,,,"This costs {r} less to play for each Runechant you control.

Search your deck for a Runeblade aura with cost X or less, put it into the arena, then shuffle.

If X is 2 or more, this gets **go again**.",Runeblade Action,,,,No,M,,,Olga Tereshenko,,/HVY251.png,,,,,,,,,,,,
HVY252,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY253,HVY,Dissolve Reality,2,0,,3,,,"Illusionist, Action",Go again,,,,,,"Each hero puts all cards in their arsenal on the bottom of their deck and creates a Ponder token.

**Go again**",Illusionist Action,,,,No,M,,,Carlos Cruchaga,,/HVY253.png,,,,,,,,,,,,
HVY254,HVY,"Luminaris, Angel's Glow",,,,,,,"Light, Illusionist, Weapon, Scepter, 2H",,,,,,,"If there is a yellow card in your pitch zone, the first attack action card with Herald in its name you play each turn and your first angel attack each turn get **go again**.",Light Illusionist Weapon - Scepter (2H),,,,No,M,,,Asur Misoa,,/HVY254.png,,,,,,,,,,,,
