Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,TCGPlayer Product Id 3,TCGPlayer Url 3,Rarity 4,Foiling 4,Art Variations 4,Expansion Slot 4,Artists 4,Flavor Text 4,Identifier 4,Image URL 4,TCGPlayer Product Id 4,TCGPlayer Url 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Flavor Text 5,Identifier 5,Image URL 5,TCGPlayer Product Id 5,TCGPlayer Url 5
MPG069,MPG,Crush the Weak,Blue,3,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, they can't play attack action cards with 3 or less base {p} during their next action phase.",,,,,,,,,,,,,MPG069,/MPG069.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG070,MPG,Debilitate,Red,1,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, their first attack during their next turn gets -2{p}.",,,,,,,,,,,,,MPG070,/MPG070.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG071,MPG,Debilitate,Yellow,2,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, their first attack during their next turn gets -2{p}.",,,,,,,,,,,,,MPG071,/MPG071.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG072,MPG,Debilitate,Blue,3,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, their first attack during their next turn gets -2{p}.",,,,,,,,,,,,,MPG072,/MPG072.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG073,MPG,Disable,Red,1,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a card from their arsenal on the bottom of their deck.",,,,,,,C,,,,,,MPG073,/MPG073.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG074,MPG,Disable,Yellow,2,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a card from their arsenal on the bottom of their deck.",,,,,,,C,,,,,,MPG074,/MPG074.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG075,MPG,Disable,Blue,3,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a card from their arsenal on the bottom of their deck.",,,,,,,C,,,,,,MPG075,/MPG075.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG076,MPG,Flatten the Field,Red,1,4,8,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy a Seismic Surge token they control.",Guardian Action - Attack,,,,,,C,,,Camille Alquier,,,MPG076,/MPG076.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG077,MPG,Flatten the Field,Yellow,2,4,7,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy a Seismic Surge token they control.",Guardian Action - Attack,,,,,,C,,,Camille Alquier,,,MPG077,/MPG077.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG078,MPG,Flatten the Field,Blue,3,4,6,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy a Seismic Surge token they control.",Guardian Action - Attack,,,,,,C,,,Camille Alquier,,,MPG078,/MPG078.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG079,MPG,Grind Them Down,Red,1,3,7,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy the top card of their deck.",Guardian Action - Attack,,,,,,C,,,Carlos Cruchaga,,,MPG079,/MPG079.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG080,MPG,Grind Them Down,Yellow,2,3,6,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy the top card of their deck.",Guardian Action - Attack,,,,,,C,,,Carlos Cruchaga,,,MPG080,/MPG080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG081,MPG,Grind Them Down,Blue,3,3,5,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy the top card of their deck.",Guardian Action - Attack,,,,,,C,,,Carlos Cruchaga,,,MPG081,/MPG081.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG082,MPG,Rubble Raiser,Red,1,4,8,3,,,,"Guardian, Action, Attack",,Heave 2,,,,,,**Heave 2**,Guardian Action - Attack,,,,,,C,,,Camille Alquier,,,MPG082,/MPG082.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG083,MPG,Rubble Raiser,Yellow,2,4,7,3,,,,"Guardian, Action, Attack",,Heave 2,,,,,,**Heave 2**,Guardian Action - Attack,,,,,,C,,,Camille Alquier,,,MPG083,/MPG083.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG084,MPG,Rubble Raiser,Blue,3,4,6,3,,,,"Guardian, Action, Attack",,Heave 2,,,,,,**Heave 2**,Guardian Action - Attack,,,,,,C,,,Camille Alquier,,,MPG084,/MPG084.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG085,MPG,Thump,Red,1,4,6,3,,,,,,,,,,,,"If this card's {p} is greater than its base, it gets **dominate** and ""When this hits a hero, they discard a card.""",,,,,,,,,,,,,MPG085,/MPG085.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG086,MPG,Thump,Yellow,2,4,5,3,,,,,,,,,,,,"If this card's {p} is greater than its base, it gets **dominate** and ""When this hits a hero, they discard a card.""",,,,,,,,,,,,,MPG086,/MPG086.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG087,MPG,Thump,Blue,3,4,4,3,,,,,,,,,,,,"If this card's {p} is greater than its base, it gets **dominate** and ""When this hits a hero, they discard a card.""",,,,,,,,,,,,,MPG087,/MPG087.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG088,MPG,Thunder Quake,Red,1,,,,,,,,,,,,,,,,,,,,,,C,,,,,,MPG088,/MPG088.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG089,MPG,Thunder Quake,Yellow,2,,,,,,,,,,,,,,,,,,,,,,C,,,,,,MPG089,/MPG089.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG090,MPG,Thunder Quake,Blue,3,,,,,,,,,,,,,,,,,,,,,,C,,,,,,MPG090,/MPG090.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG091,MPG,Overswing,Red,1,2,,3,,,,"Guardian, Action",,"Go again, Heave 2",,,,,,"The next Guardian attack action card you play this turn gets +3{p}.

**Go again**

**Heave 2**",Guardian Action,,,,,,C,,,Rio Sabda,,,MPG091,/MPG091.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG092,MPG,Overswing,Yellow,2,2,,3,,,,"Guardian, Action",,"Go again, Heave 2",,,,,,"The next Guardian attack action card you play this turn gets +2{p}.

**Go again**

**Heave 2**",Guardian Action,,,,,,C,,,Rio Sabda,,,MPG092,/MPG092.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG093,MPG,Overswing,Blue,3,2,,3,,,,"Guardian, Action",,"Go again, Heave 2",,,,,,"The next Guardian attack action card you play this turn gets +1{p}.

**Go again**

**Heave 2**",Guardian Action,,,,,,C,,,Rio Sabda,,,MPG093,/MPG093.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG094,MPG,Seismic Stir,Red,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPG094,/MPG094.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG095,MPG,Seismic Stir,Yellow,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPG095,/MPG095.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG096,MPG,Seismic Stir,Blue,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPG096,/MPG096.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG097,MPG,Embolden,Red,1,,,,,,,,,,,,,,,"**Go again**

When this enters the arena, if you control another non-token aura, draw a card.

At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn gets +3{p}.",,,,,,,C,,,,,,MPG097,/MPG097.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG098,MPG,Embolden,Yellow,2,,,,,,,,,,,,,,,"**Go again**

When this enters the arena, if you control another non-token aura, draw a card.

At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn gets +2{p}.",,,,,,,C,,,,,,MPG098,/MPG098.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG099,MPG,Embolden,Blue,3,,,,,,,,,,,,,,,"**Go again**

When this enters the arena, if you control another non-token aura, draw a card.

At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn gets +1{p}.",,,,,,,C,,,,,,MPG099,/MPG099.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG100,MPG,Emerging Power,Red,1,,,,,,,,,,,,,,,"**Go again**

At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn gets +3{p}.",,,,,,,,,,,,,MPG100,/MPG100.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG101,MPG,Emerging Power,Yellow,2,,,,,,,,,,,,,,,"**Go again**

At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn gets +2{p}.",,,,,,,,,,,,,MPG101,/MPG101.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG102,MPG,Emerging Power,Blue,3,,,,,,,,,,,,,,,"**Go again**

At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn gets +1{p}.",,,,,,,,,,,,,MPG102,/MPG102.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG103,MPG,Geyser of Seismic Stirrings,Red,1,2,,3,,,,"Guardian, Action, Aura",,Go again,,,,,,"**Go again**

This enters the arena with 3 energy counters. When it has none, destroy it.

At the beginning of your end phase, remove an energy counter from this and create a Seismic Surge token.",Guardian Action - Aura,,,,,,C,,,Fiora Silve,,,MPG103,/MPG103.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG104,MPG,Geyser of Seismic Stirrings,Yellow,2,2,,3,,,,"Guardian, Action, Aura",,Go again,,,,,,"**Go again**

This enters the arena with 2 energy counters. When it has none, destroy it.

At the beginning of your end phase, remove an energy counter from this and create a Seismic Surge token.",Guardian Action - Aura,,,,,,C,,,Fiora Silve,,,MPG104,/MPG104.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG105,MPG,Geyser of Seismic Stirrings,Blue,3,2,,3,,,,"Guardian, Action, Aura",,Go again,,,,,,"**Go again**

This enters the arena with an energy counter. When it has none, destroy it.

At the beginning of your end phase, remove an energy counter from this and create a Seismic Surge token.",Guardian Action - Aura,,,,,,C,,,Fiora Silve,,,MPG105,/MPG105.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG106,MPG,Stonewall Confidence,Red,1,,,,,,,,,,,,,,,"**Go again**

Cards you control with cost 3 or more get +4{p} while defending.

At the beginning of your action phase destroy this.",,,,,,,,,,,,,MPG106,/MPG106.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG107,MPG,Stonewall Confidence,Yellow,2,,,,,,,,,,,,,,,"**Go again**

Cards you control with cost 3 or more get +3{p} while defending.

At the beginning of your action phase destroy this.",,,,,,,,,,,,,MPG107,/MPG107.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG108,MPG,Stonewall Confidence,Blue,3,,,,,,,,,,,,,,,"**Go again**

Cards you control with cost 3 or more get +2{p} while defending.

At the beginning of your action phase destroy this.",,,,,,,,,,,,,MPG108,/MPG108.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG109,MPG,Crash and Bash,Red,1,,,4,,,,"Guardian, Block",,,,,,,Crush,"When this defends, you may reveal a card with **crush** from your hand. If you do, create a Seismic Surge token.",Guardian Block,,,,,,C,,,Jessada Sutthi,,,MPG109,/MPG109.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG110,MPG,Crash and Bash,Yellow,2,,,3,,,,"Guardian, Block",,,,,,,Crush,"When this defends, you may reveal a card with **crush** from your hand. If you do, create a Seismic Surge token.",Guardian Block,,,,,,C,,,Jessada Sutthi,,,MPG110,/MPG110.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG111,MPG,Crash and Bash,Blue,3,,,2,,,,"Guardian, Block",,,,,,,Crush,"When this defends, you may reveal a card with **crush** from your hand. If you do, create a Seismic Surge token.",Guardian Block,,,,,,C,,,Jessada Sutthi,,,MPG111,/MPG111.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG112,MPG,Seismic Surge,,,,,,,,,"Guardian, Token, Aura",,,,,,,,"At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn costs {r} less to play.",Guardian Token - Aura,,,,,,T,,,Anastasiya Grintsova,,,MPG112,/MPG112.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG113,MPG,Base of the Mountain,,,,,*,,,,"Generic, Equipment, Legs",,Blade Break,,,,,,"When this defends, banish any number of action cards from your hand, then add them to the chain link as defending cards.

This card's {d} is equal to the number of action cards defending on the active chain link.

**Blade Break**",Generic Equipment - Legs,,,,No,,L,C,,Simon Dominic,,,MPG113,/MPG113.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG114,MPG,Sunkwater Lookout,,,,,0,,,,"Generic, Equipment, Head",,Blade Break,,,,,,"When this defends, put a face-up card from your arsenal on the bottom of your deck. If you do, draw a card and this gets +1{d} until end of turn.

**Blade Break**",Generic Equipment - Head,,,,,,R,,,Faizal Fikri,,,MPG114,/MPG114.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG115,MPG,Sunkwater Exoshell,,,,,0,,,,"Generic, Equipment, Chest",,Blade Break,,,,,,"When this defends, put a face-up card from your arsenal on the bottom of your deck. If you do, draw a card and this gets +1{d} until end of turn.

**Blade Break**",Generic Equipment - Chest,,,,,,R,,,Faizal Fikri,,,MPG115,/MPG115.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG116,MPG,Sunkwater Pincers,,,,,0,,,,"Generic, Equipment, Arms",,Blade Break,,,,,,"When this defends, put a face-up card from your arsenal on the bottom of your deck. If you do, draw a card and this gets +1{d} until end of turn.

**Blade Break**",Generic Equipment - Arms,,,,,,R,,,Faizal Fikri,,,MPG116,/MPG116.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG117,MPG,Sunkwater Scalers,,,,,0,,,,"Generic, Equipment, Legs",,Blade Break,,,,,,"When this defends, put a face-up card from your arsenal on the bottom of your deck. If you do, draw a card and this gets +1{d} until end of turn.

**Blade Break**",Generic Equipment - Legs,,,,,,R,,,Faizal Fikri,,,MPG117,/MPG117.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG118,MPG,Hope Merchant's Hood,,,,,,,,,,,,,,,,,"**Instant** - Destroy this: Shuffle any number of cards from your hand into your deck, then draw that many cards.",,,,,,,,,,,,,MPG118,/MPG118.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG119,MPG,Heartened Cross Strap,,,,,,,,,,,,,,,,,**Action** - Destroy this: The next attack action card you play this turn costs {r}{r} less to play. **Go again**,,,,,,,,,,,,,MPG119,/MPG119.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG120,MPG,Goliath Gauntlet,,,,,,,,,,,,,,,,,**Action** - Destroy this: The next attack action card with cost 2 or more you play this turn gets +2{p}. **Go again**,Generic Equipment - Arms,,,,,,,,,,,,MPG120,/MPG120.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG121,MPG,Time Skippers,,,,,0,,,,"Generic, Equipment, Legs",,,,,,,,"**Action** - {r}{r}{r}, destroy this: Gain 2 action points.",Generic Equipment - Legs,,,,,,C,,,Carlos Cruchaga,,,MPG121,/MPG121.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG122,MPG,Ironrot Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPG122,/MPG122.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG123,MPG,Ironrot Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPG123,/MPG123.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG124,MPG,Ironrot Gauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPG124,/MPG124.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG125,MPG,Ironrot Legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MPG125,/MPG125.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG126,MPG,Call for Backup,Red,1,3,7,2,,,,"Generic, Action, Attack",,,,,,,,"When this defends, choose 2 attack action cards with different names in your graveyard. An opponent chooses 1 of them. Banish that card and put the other on top of your deck.",Generic Action - Attack,,,,No,,M,,,Fajareka Setiawan,,,MPG126,/MPG126.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG127,MPG,Captain of the Guard,Blue,3,3,5,2,,,,"Generic, Action, Attack",,,,,,,,"While this is defending, cards with {p} greater than the attack they are defending get +1{d}.",Generic Action - Attack,,,,No,,M,,,Tomasz Jedruszek,,,MPG127,/MPG127.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG128,MPG,Fearless Confrontation,Blue,3,3,5,3,,,,"Generic, Action, Attack",,,Instant,,,Dominate,,**Instant** - Discard this: Target attack gets -1{p} and loses and can't gain **dominate**.,Generic Action - Attack,,,,No,,M,,,soyameii,,,MPG128,/MPG128.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG129,MPG,Bravo,,,,,,20,4,,"Guardian, Hero, Young",,Go again,,,Dominate,,,"**Action** - {r}{r}: Until end of turn, your attack action cards with cost 3 or more get **dominate**. **Go again**",Guardian Hero - Young,,,No,,No,V,C,,Adolfo Navarro,,,MPG129,/MPG129_V2.png,,,V,C,FA,Adolfo Navarro,,,MPG129,/MPG129_V2_BACK.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG130,MPG,Jarl Vetreiđi,,,,,,40,4,,"Elemental, Guardian, Hero",,Essence of Earth and Ice,,,,,,"Whenever you play an Ice card, create a Frostbite token in an opponent's exposed head, chest, arms, or legs zone.

**Essence of Earth and Ice**",Elemental Guardian Hero,,No,,No,,V,C,,Federico Musetti,,,MPG130,/MPG130_V2.png,,,V,C,FA,Federico Musetti,,,MPG130,/MPG130_V2_BACK.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
