Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,TCGPlayer Product Id 3,TCGPlayer Url 3,Rarity 4,Foiling 4,Art Variations 4,Expansion Slot 4,Artists 4,Flavor Text 4,Identifier 4,Image URL 4,TCGPlayer Product Id 4,TCGPlayer Url 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Flavor Text 5,Identifier 5,Image URL 5,TCGPlayer Product Id 5,TCGPlayer Url 5
SEA076,SEA,"Cutty Shark, Quick Clip",2,1,3,,4,,,"Pirate, Necromancer, Action, Ally","Go again, Watery Grave",,,,,,"**Action** - {r}, {t}: **Attack**

**Once per Turn Action** - {r}: Your next ally attack this turn gets +1{p}. **Go again**

**Watery Grave**",Pirate Necromancer Action - Ally,,,,,,C,,,Narendra B Adi,,,SEA076,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA076.png,,,V,C,FA,Narendra B Adi,,,SEA076,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA076_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LGS406, SEA077","LGS, SEA",Riggermortis,2,1,6,,1,,,"Pirate, Necromancer, Action, Ally",Watery Grave,Action,Attack,,,,"**Action** - {r}, {t}: **Attack**

**Watery Grave**",Pirate Necromancer Action - Ally,,,,,,P,R,EA,Max Kostin,,,LGS406,https://storage.googleapis.com/fabmaster/cardfaces/promos/LGS406.png,,,C,,,Max Kostin,,,SEA077,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA077.png,,,V,C,FA,Max Kostin,,,SEA077,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA077_V2.png,,,,,,,,,,,,,,,,,,,,,
SEA078,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA079,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA080,SEA,Dead Threads,,,,1,,,,"Necromancer, Equipment, Chest",Blade Break,Instant,,,,,"**Instant** - {t}: Gain {r}. Activate this only if an ally has been put into your graveyard this turn.

**Blade Break**",Necromancer Equipment - Chest,,,,No,,L,R,,Mario Wibisono,,,SEA080,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA080.png,,,L,C,EA,Mario Wibisono,,,SEA080,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA080_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA081,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEA082, HER139","SEA, HER","Marlynn, Treasure Hunter",,,,,40,4,,"Pirate, Ranger, Hero",,Action,Go again,,,,"**Action** - {t}, destroy a Gold you control: Create a Goldfin Harpoon in your hand. **Go again**

Whenever you draw a card during your action phase, you may put an arrow from your hand face-up into your arsenal.",Pirate Ranger Hero,,No,,No,,B,S,,Sam Yang,,,SEA082,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA082.webp,,,V,C,FA,Sam Yang,,,SEA082,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA082-MV.webp,,,V,C,FA,Sam Yang,,,SEA082,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA082-MV_BACK.webp,,,P,R,,,Sam Yang,,HER139,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/HER139-RF.webp,,,,,,,,,,,
SEA083,SEA,Marlynn,,,,,20,4,,"Pirate, Ranger, Hero, Young",,Action,Go again,,,,"**Action** - {t}, destroy a Gold you control: Create a Goldfin Harpoon in your hand. **Go again**

Whenever you draw a card during your action phase, you may put an arrow from your hand face-up into your arsenal.",Pirate Ranger Hero - Young,,,No,,No,B,,,Sam Yang,,,SEA083,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA083.png,,,V,C,FA,Sam Yang,,,SEA083,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA083-MV.webp,,,V,C,FA,Sam Yang,,,SEA083,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA083-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,
SEA084,SEA,"Hammerhead, Harpoon Cannon",,,,,,,,"Pirate, Ranger, Weapon, Bow, Cannon, 2H",,Action,Go again,Overpower,,,"**Action** - {r}{r}{r}{r}, {t}: Your next arrow attack this turn gets +4{p}. If it has harpoon in its name, it gets **overpower**. **Go again**",Pirate Ranger Weapon - Bow Cannon (2H),,,,,,B,,,Sam Yang,,,SEA084,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA084.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA085,SEA,King Kraken Harpoon,1,2,6,3,,,,"Pirate, Ranger, Action, Arrow, Attack",Go Fish,,,,,,"**Go Fish** - When this hits a hero, they choose and reveal a card from their hand. If it's a non-attack action card, they discard it and you create a Gold token. If you've activated a cannon this turn, instead look at their hand and you choose the card.",Pirate Ranger Action - Arrow Attack,,,,No,,M,,,Faizal Fikri,,,SEA085,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA085.png,,,M,R,EA,Faizal Fikri,,,SEA085,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA085_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA086,SEA,King Shark Harpoon,1,2,6,3,,,,"Pirate, Ranger, Action, Arrow, Attack",Go Fish,,,,,,"**Go Fish** - When this hits a hero, they choose and reveal a card from their hand. If it's an attack action card, they discard it and you create a Gold token. If you've activated a cannon this turn, instead look at their hand and you choose the card.",Pirate Ranger Action - Arrow Attack,,,,No,,M,S,,Simon Dominic,,,SEA086,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA086.png,,,M,R,EA,Simon Dominic,,,SEA086,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA086_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEA087, FAB345","SEA, FAB",Big Game Trophy Shot,2,2,,3,,,,"Pirate, Ranger, Action",Go again,,,,,,"Your next arrow attack this turn gets +4{p}. If it has harpoon in its name, it gets ""When this hits a hero, create a Gold token.""

Draw a card, then discard a card.

**Go again**",Pirate Ranger Action,,,,No,,M,S,,Lius Lasahido,,,SEA087,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA087-RF.webp,,,M,R,,Lius Lasahido,,,SEA087,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA087-RF.webp,,,P,R,EA,Lius Lasahido,,,FAB345,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB345-RF.webp,,,,,,,,,,,,,,,,,,,,,
SEA088,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA089,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA090,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA091,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA092,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA093,SEA,Goldfin Harpoon,,0,2,,,,,"Pirate, Ranger, Action, Arrow, Attack",,,,,,,"If this would be put into a graveyard, instead remove it from the game.",Pirate Ranger Action - Arrow Attack,,,,,,B,S,,Bastien Jez,,,SEA093,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA093.webp,,,V,C,FA,Bastien Jez,,,SEA093,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA093-TP.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA094,SEA,Redspine Manta,,,,,,,,"Ranger, Weapon, Bow, 2H",,Action,Go again,,,,**Action** - {t}: Put an arrow from your hand face-up into your arsenal. **Go again**,Ranger Weapon - Bow (2H),,,,,,B,,,Konadekana,,,SEA094,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA094.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA095,SEA,Sealace Sarong,,,,2,,,,"Ranger, Equipment, Legs",Blade Break,Instant,,Go again,,,"**Instant** - {t}, turn a blue arrow in your arsenal face-up: it gets **go again** this turn.

**Blade Break**",Ranger Equipment - Legs,,,,No,,L,R,,SanSan,,,SEA095,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA095.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA096,SEA,Patch the Hole,,,,0,,,,"Ranger, Equipment, Head",,Instant,,,,,**Instant** - Destroy this: Return a card from your arsenal to your hand.,Ranger Equipment - Head,,,,,,C,S,,Raphael Pinna,,,SEA096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA097,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA098,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA099,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA100,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA101,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA102,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA103,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA104,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA105,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA106,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA107,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA108,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA109,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA110,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA111,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA112,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA113,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA114,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA115,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA116,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA117,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA118,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA119,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA120,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA121,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA122,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA123,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA124,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA125,SEA,Gold-Baited Hook,,,,1,,,,"Pirate, Equipment, Arms",Battleworn,Action,"Steal, Go again",,,,"**Action** - {t}: Your next Pirate attack this turn gets ""When this hits a hero, **steal** a Gold token they control, otherwise create a Gold token."" At the beginning of your end phase, if you haven't created or stolen a Gold token this turn, destroy this. **Go again**

**Battleworn**",Pirate Equipment - Arms,,,,No,,L,C,,Tomasz Jedruszek,,,SEA125,/SEA125-TP.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA126,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA127,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA128,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA129,SEA,Peg Leg,,,,1,,,,"Pirate, Equipment, Legs",Blade Break,Action,Go again,Go again,,,"**Action** - {r}{r}{r}, destroy this: Your next attack this turn gets **go again**. **Go again**.

**Blade Break**",Pirate Equipment - Legs,,,,,,C,,,Nailsen Ivanderlie,,,SEA129,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA129.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA130,SEA,Conqueror of the High Seas,1,4,7,3,,,,"Pirate, Action, Attack","High Tide, Go again",,,,,,"When this hits a hero, destroy all cards in their arsenal. Create a Gold token for each card destroyed this way.

**High Tide** - If there are 2 or more blue cards in your pitch zone, this gets +1{p} and **go again**.",Pirate Action - Attack,,,,No,,M,,,Max Kostin,,,SEA130,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA130.png,,,M,C,EA,Max Kostin,,,SEA130,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA130_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA131,SEA,Loan Shark,2,0,,3,,,,"Pirate, Action, Aura",Go again,,,,,,"**Go again**

When this enters the arena, create 2 Gold tokens.

At the beginning of your end phase, if you haven't created or stolen a Gold this turn, destroy this, then lose 2{h} unless you discard a card.",Pirate Action - Aura,,,,No,,M,,,Narendra B Adi,,,SEA131,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA131.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA132,SEA,Tip the Barkeep,3,0,,3,,,,"Pirate, Action",Go again,,,,,,"Create a Goldkiss Rum token.

You may give a Gold token you control to another hero. If you do, put this on the bottom of its owner's deck.

**Go again**",Pirate Action,,,,No,,M,,,Tomasz Jedruszek,,,SEA132,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA132.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA133,SEA,Sunken Treasure,3,,,3,,,,"Pirate, Block",,,,,,,"When this defends, you may turn a card in a graveyard face-down. If it's yellow, create a Gold token.",Pirate Block,,,,No,,M,,,Ramza Ardyputra,,,SEA133,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA133.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA134,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA135,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA136,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA137,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA138,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA139,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA140,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA141,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA142,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA143,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA144,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA145,SEA,Portside Exchange,3,0,,3,,,,"Pirate, Action",Go again,,,,,,"Discard a card, then draw a card. If a yellow card is discarded this way, create a Gold token.

**Go again**",Pirate Action,,,,No,,R,C,EA,Nikko Wahyudi,,,SEA145,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA145_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA146,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA147,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA148,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA149,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA150,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA151,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA152,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA153,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA154,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA155,SEA,Expedition to Azuro Keys,1,0,4,2,,,,"Pirate, Action, Attack",,,,,,,"When this attacks, you may put a gold counter on Treasure Island.",Pirate Action - Attack,,,,,,C,,,Anthony Avon,,,SEA155,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA155.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA156,SEA,Expedition to Blackwater Strait,1,1,5,2,,,,"Pirate, Action, Attack",,,,,,,"When this attacks, you may put a gold counter on Treasure Island.",Pirate Action - Attack,,,,,,C,,,Tomasz Jedruszek,,,SEA156,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA156.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA157,SEA,Expedition to Dreadfall Reach,1,2,6,2,,,,"Pirate, Action, Attack",,,,,,,"When this attacks, you may put a gold counter on Treasure Island.",Pirate Action - Attack,,,,,,C,,,Arkoii,,,SEA157,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA157.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA158,SEA,Expedition to Horizon's Mantle,1,3,7,2,,,,"Pirate, Action, Attack",,,,,,,"When this attacks, you may put a gold counter on Treasure Island.",Pirate Action - Attack,,,,,,C,,,Carlos Cruchaga,,,SEA158,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA158.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA159,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA160,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA161,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA162,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA163,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA164,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA165,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA166,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA167,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA168,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA169,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA170,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA171,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA172,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA173,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA174,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA175,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA176,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA177,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA178,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA179,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA180,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA181,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA182,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA183,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
