Identifiers	Set Identifiers	Name	Pitch	Cost	Power	Defense	Health	Intelligence	Rarity	Types	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Functional Text	Flavor Text	Type Text	Artists	Card Played Horizontally	Blitz Legal	CC Legal	Commoner Legal	Variations	Image URLs
OUT141	OUT	Blade Cuff				1			C	Assassin, Ninja, Equipment, Arms	Blade Break	Action	Go again		"**Action** - {r}{r}, destroy Blade Cuff: Your daggers gain +1{p} this turn. **Go again**

**Blade Break**"		Assassin / Ninja Equipment - Arms	Federico Musetti					S - OUT141 - N	/OUT141.png – OUT141 – N
OUT142	OUT	Stab Wound	3	0	2	3			M	Assassin, Ninja, Action, Attack					When this hits a hero, they lose X{h}, where X is the number of times a dagger has hit this combat chain.		Assassin / Ninja Action - Attack	Narendra B Adi				No	S – OUT142 - N	/OUT142.png – OUT142 – N
OUT143	OUT	Concealed Blade	3	0		3			M	Assassin, Ninja, Attack Reaction					Target Assassin or Ninja attack action card gains +1{p} and When this hits, equip a dagger from your inventory.		Assassin / Ninja Attack Reaction	Isuardi Therianto				No	S - OUT143 - N	/OUT143.png – OUT143 – N
OUT144	OUT																							
OUT145	OUT	Bleed Out	1	2	4	2			R	Assassin, Ninja, Action, Attack	Go again				"Bleed Out costs X resource points less to play, where X is the total damage you've dealt with daggers this combat chain.

**Go again**"		Assassin / Ninja Action - Attack	Marco Gonzalez				No	S - OUT145 - N	/OUT145.png – OUT145 – N
OUT146	OUT																							
OUT147	OUT																							
OUT148	OUT	Hurl	1	0	3	2			 R	Assassin, Ninja, Action, Attack	Go Again				"As an additional cost to play Hurl, you may pay {R}. When you do, it gains ""When this attack, target dagger you control deals 1 damage to target hero. If damage is dealth this way, the dagger has hit. Destroy the dagger.""

**Go again**"		Assassin / Ninja Action - Attack	Tanapon Wachirakul				No	S – OUT148 - N	/OUT148.png – OUT148 – N
OUT149	OUT																							
OUT150	OUT																							
OUT151	OUT																							
OUT152	OUT																							
OUT153	OUT																							
OUT154	OUT	Short and Sharp	1	1		2			C	Assassin, Ninja, Attack Reaction					"Choose 1;
- Target dagger attack gains +3{p}.
- Target attack action card with 2 or less base {p} gains +3{p}."		Assassin / Ninja Attack Reaction	Tommy Suhartono					S - OUT154 - N	/OUT154.png – OUT154 – N
OUT155	OUT																							
OUT156	OUT																							
OUT157	OUT																							
OUT158	OUT	Toxic Tips				1			C	Assassin, Ranger, Equipment, Arms	Go again, Blade Break				"**Action** - {r}, destroy Toxic Tips: The next attack action card you play this turn gains ""When this hits a hero, create a Frailty, Inertia, or Bloodrot Pox token under their control."" **Go again**

**Blade Break**"		Assassin / Ranger Equipment - Arms	Shen Fei					S – OUT158 - N	/OUT158.png – OUT158 – N
OUT159	OUT	Codex of Bloodrot	2	0		2			M	Assassin, Ranger, Action	Go again				"Each hero puts an attack action card from their hand face down into their arsenal.

Create a Ponder token under your control and a Bloodrot Pox token under each opponent's control.

**Go again**"		Assassin / Ranger Action	Mateusz Wiśniewski				No	S - OUT159 - N	/OUT159.png – OUT159 – N
OUT160	OUT	Codex of Frailty	2	0		2			M – OUT160 – N, V – OUT160 – N – AA	Assassin, Ranger, Action	Go again				"Each hero puts an attack action card from their graveyard face down into their arsenal. Each hero that does, discards a card.

Create a Ponder token under your control and a Frailty token under each opponent's control.

**Go again**"		Assassin / Ranger Action	Carlos Cruchaga				No	 S – OUT160 – N, C – OUT160 – N – FA	/OUT160.png – OUT160 – N, /OUT160_Marvel.png – OUT160_Marvel – N – FA
OUT161	OUT	Codex of Inertia	2	0	0	2			M	Assassin, Ranger, Action	Go again				"Each hero puts the top card of their deck face down into their arsenal. Each hero that does, discards a card.

Create a Ponder token under your control and an Inertia token under each opponent's control.

**Go again**"		Assassin / Ranger Action	Isuardi Therianto				No	S - OUT161 - N	/OUT161.png – OUT161 – N
FAB132, OUT162	FAB, OUT	Death Touch	1	1	6	2			P, R	Assassin, Ranger, Action, Attack					"Death Touch can't be played from hand.

When this hits a hero, create a Frailty, Inertia, or Bloodrot Pox token under their control."		Assassin / Ranger Action - Attack	Saad Irfan					R - FAB132 - N - EA, S - OUT162 - N	/FAB132.png – FAB132 – N, https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT162.width-450.png - OUT162 - N
OUT163	OUT	Death Touch	2	1	5	2			R	Assassin, Ranger, Action, Attack					"Death Touch can't be played from hand.

When this hits a hero, create a Frailty, Inertia, or Bloodrot Pox token under their control."		Assassin / Ranger Action - Attack	Saad Irfan					S - OUT163 - N	https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT163.width-450.png - OUT163 - N
OUT164	OUT	Death Touch	3	1	4	2			R	Assassin, Ranger, Action, Attack					"Death Touch can't be played from hand.

When this hits a hero, create a Frailty, Inertia, or Bloodrot Pox token under their control."		Assassin / Ranger Action - Attack	Saad Irfan					S - OUT164 - N	https://dhhim4ltzu1pj.cloudfront.net/media/images/OUT164.width-450.png - OUT164 - N
OUT165	OUT	Toxicity	1	0		2			R	Assassin, Ranger, Action	Go again				"The next Assassin or Ranger attack action card you play this turn gains ""When this hits a hero, they lose 5{h}.""

**Go again**"		Assassin / Ranger Action	Federico Musetti				No	S - OUT165 - N	/OUT165.png – OUT165 – N
OUT166	OUT																							
OUT167	OUT																							
OUT168	OUT	Virulent Touch	1	0	4	2			C	Assassin, Ranger, Action, Attack					"Viruluent Touch can’t be played from hand.

When this chain link resolves, if Virulent Touch is defended by a card from hand, create a Bloodrot Pox token under the defending hero’s control."		Assassin / Ranger Action - Attack	Mark Poole					S – OUT168 - N	/OUT168.png – OUT168 – N
OUT169	OUT																							
OUT170	OUT																							
OUT171	OUT	Bloodrot Trap	1	0		3			C	Assassin, Ranger, Defense Reaction, Trap					When this defends and the attacking hero has played or activated a reaction this chain link, create a Bloodrot Pox token under their control.		Assassin / Ranger Defense Reaction - Trap	Henrique Lindner					S - OUT171 - N	/OUT171.png – OUT171 – N
OUT172	OUT	Frailty Trap	1	0		3			C	Assassin, Ranger, Defense Reaction, Trap					When this defends an attack with **go again**, create a Frailty token under the attacking hero's control.		Assassin / Ranger Defense Reaction - Trap	Vito Vivodka					S - OUT172 - N	/OUT172.png – OUT172 – N
OUT173	OUT	Inertia Trap	1	0		3			C	Assassin, Ranger, Defense Reaction, Trap					When this defends an attack with {p} greater than its base, create an Inertia token under the attacking hero's control.		Assassin / Ranger Defense Reaction - Trap	Erick Efata					S - OUT173 - N	/OUT173.png – OUT173 – N
OUT174	OUT	Vambrace of Determination				0			L	Generic, Equipment, Arms	Blade Break	Once per Turn Attack Reaction			"**Once per Turn Attack Reaction** - {r}: The next prevention effect that prevents {p} damage this turn, prevents 1 less of that damage.

When this defends, you may pay {r}. If you do, it gains +1{d} and **blade break**."		Generic Equipment - Arms	Alexander Mokhov				No	S - OUT174 - N	/OUT174.png – OUT174 – N
OUT175	OUT	Seeker's Hood							C	Generic, Equipment, Head		Instant	Opt 1		**Instant** - {r}, destroy Seeker's Hood: Prevent the next 1 damage that would be dealt to your hero this turn. **Opt 1**		Generic Equipment - Head	Lizhe Liang					S - OUT175 - N	/OUT175.png – OUT175 – N
OUT176	OUT	Seeker's Gilet							C	Generic, Equipment, Chest		Instant	Opt 1		**Instant** - {r}, destroy Seeker's Gilet: Prevent the next 1 damage that would be dealt to your hero this turn. **Opt 1**		Generic Equipment - Chest	Immanuela Crovus					S - OUT176 - N	/OUT176.png – OUT176 – N
OUT177	OUT	Seeker's Mitts							C	Generic, Equipment, Arms		Instant	Opt 1		**Instant** - {r}, destroy Seeker's Mitts: Prevent the next 1 damage that would be dealt to your hero this turn. **Opt 1**		Generic Equipment - Arms	Felicia Liang					S - OUT177 - N	/OUT177.png – OUT177 – N
OUT178	OUT	Seeker's Leggings							C	Generic, Equipment, Legs		Instant	Opt 1		**Instant** - {r}, destroy Seeker's Leggings: Prevent the next 1 damage that would be dealt to your hero this turn. **Opt 1**		Generic Equipment - Legs	Amelia Tan					S - OUT178 - N	/OUT178.png – OUT178 – N
OUT179	OUT																							
OUT180	OUT																							
OUT181	OUT																							
OUT182	OUT																							
OUT183	OUT	Amnesia	1	2	6	3			M	Generic, Action, Attack					When this hits a hero, cards and tokens they own l ose and can't gain names until the start of your next turn.		Generic Action - Attack	Riordan Delmiro				No	S - OUT183 - N	/OUT183.png – OUT183 – N
OUT184	OUT	Down and Dirty	1	2	6	2			M	Generic, Action, Attack					While Down and Dirty is in your arsenal, you may defend with it.	Mobs scuttle through the undercity like pack rats, sniffing out havoc and any opportunity for a good mugging.	Generic Action - Attack	Kevin Sidartha				No	S - OUT184 - N	/OUT184.png – OUT184 – N
OUT185	OUT	Give and Take	1	1	3	3			M	Generic, Action, Attack	Go again				"Whenever Give and Take is defended by an action card, you may put an action card with cost less than Give and Take's {p} from your graveyard on top of your deck.

**Go again**"		Generic Action - Attack	Federico Musetti				No	S - OUT185 - N	/OUT185.png – OUT185 – N
OUT186	OUT	Gore Belching	1	0	7				M	Generic, Action, Attack					When this attacks, reveal cards from the top of your deck until you reveal an attack action card. If you do, banish it and this gets -X{p}, where X is the {p} of the card banished this way. Otherwise, this gets -7{p}. Shuffle.		Generic Action - Attack	Nikolay Moskvin				No	S - OUT186 - N	/OUT186.png – OUT186 – N
OUT187	OUT																							
OUT188	OUT	Premeditate	1	0		2			M	Generic, Action	Go again				"The next time an attack action card hits a hero this turn, create a Ponder token.

The next attack action card you play from arsenal this turn gains +3{p}.

**Go again**"		Generic Action	Isuardi Therianto				No	S - OUT188 - N	/OUT188.png – OUT188 – N
OUT189	OUT	Humble	1	2	6	2			R	Generic, Action, Attack					When this hits a hero, that hero loses all abilities until the end of their next turn.		Generic Action - Attack	Henrique Lindner				No	S - OUT189 - N	/OUT189.png – OUT189 – N
OUT190	OUT																							
OUT191	OUT																							
OUT192	OUT																							
OUT193	OUT																							
OUT194	OUT																							
OUT195	OUT	Looking for a Scrap	1	1	4	2			R	Generic, Action, Attack				Go again	As an additional cost to play Looking for a Scrap, you may banish a card with 1{p} from your graveyard. When you do, this gains +1{p} and **go again**.		Generic Action - Attack	Shen Fei				No	S - OUT195 - N	/OUT195.png – OUT195 – N
OUT196	OUT																							
OUT197	OUT																							
OUT198	OUT	Wreck Havoc	1	2	6	2			R	Generic, Action, Attack					"Defense reactions can't be played to Wreck Havoc's chain link.

When this hits a hero, you may turn a card in their arsenal face up, then destroy a defense reaction in their arsenal."		Generic Action - Attack	Saad Irfan				No	S - OUT198 - N	/OUT198.png – OUT198 – N
OUT199	OUT																							
OUT200	OUT																							
OUT201	OUT	Cut Down to Size	1	2	6	2			C	Generic, Action, Attack					When this hits a hero, if they have 4 or more cards in hand, they discard a card.		Generic Action - Attack	Phu Theiu					S - OUT201 - N	/OUT201.png – OUT201 – N
OUT202	OUT																							
OUT203	OUT																							
OUT204	OUT	Destructive Deliberation	1	2	5	2			C	Generic, Action, Attack					When this hits a hero, create a Ponder token.	"Dis will blow. your MIND!"" - Suraj the Oracle"	Generic Action – Attack	Saad Irfan					S – OUT204 - N	/OUT204.png – OUT204 – N
OUT205	OUT																							
OUT206	OUT																							
OUT207	OUT																							
OUT208	OUT																							
OUT209	OUT																							
OUT210	OUT																							
OUT211	OUT																							
OUT212	OUT																							
OUT213	OUT																							
OUT214	OUT																							
OUT215	OUT																							
OUT216	OUT																							
OUT217	OUT																							
OUT218	OUT																							
OUT219	OUT																							
OUT220	OUT																							
OUT221	OUT																							
OUT222	OUT																							
OUT223	OUT																							
OUT224	OUT																							
OUT225	OUT																							
OUT226	OUT																							
OUT227	OUT																							
OUT228	OUT																							
OUT229	OUT																							
OUT230	OUT																							
OUT231, FAB131	OUT, FAB	Peace of Mind	1	2					C, P	Generic, Instant					"The next time you would be dealt {p} damage, prevent 4 of that damage.

Create a Ponder token."		Generic Instant	Nikolay Moskvin, Hendrique Lindner					R - FAB131 – N, S – OUT231 – N	/FAB131.png – FAB131 – N, /OUT231.png – OUT231 – N
OUT232	OUT	Peace of Mind	2	2					C	Generic, Instant					"The next time you would be dealt {p} damage, prevent 3 of that damage.

Create a Ponder token."		Generic Instant	Nikolay Moskvin					S – OUT232 – N	/OUT232.png – OUT232 – N
OUT233	OUT	Peace of Mind	3	2					C	Generic, Instant					"The next time you would be dealt {p} damage, prevent 2 of that damage.

Create a Ponder token."		Generic Instant	Nikolay Moskvin					S – OUT233 – N	/OUT233.png – OUT233 – N
LGS125, OUT234	LGS, OUT	Bloodrot Pox							P, T	Generic, Token, Aura					At the beginning of your end phase, destroy Bloodrot Pox, then it deals 2 damage to you unless you pay {r}{r}{r}.		Generic Token - Aura	Carlos Cruchaga					S – LGS125 – N	/LGS125.png – LGS125 – N
LGS126, OUT235	LGS, OUT	Frailty							P, T	Generic, Token, Aura					"Your attack action cards played from arsenal and weapon attacks have -1{p}.

At the beginning of your end phase destroy Frailty."		Generic Token - Aura	Daria Khlebnikova					S – LGS126 – N	/LGS126.png – LGS126 – N
LGS127, OUT236	LGS, OUT	Inertia							P, T	Generic, Token, Aura					At the beginning of your end phase, destroy Inertia, then put all cards from your hand and arsenal on the bottom of your deck.		Generic Token - Aura	Othon Nikolaidis					S – LGS127 – N	/LGS127.png – LGS127 – N
OUT237	OUT																							
OUT238	OUT																							
