name,identifier,setIdentifiers,sets,rarity,class,talent,type,actionSubType,equipmentType,resourceSubType,tokenSubType,weaponType,handsRequired,pitch,cost,power,defense,specialCost,specialPower,specialDefense,hero,young,health,intellect,keywords,earthFusion,iceFusion,lightningFusion,specialization,bannedFormats,functionalText,typeText,imageUrl
Reduce to Runechant,reduce-to-runechant-yellow,"LGS039, ARC089","Promos, ArcaneRising",Rare,Runeblade,NotTalented,DefenseReaction,,,,,,,2,1,,3,,,,,,,,,,,,,,"Reduce to Runechant costs {r} less to play for each Runechant you control.

Create a Runechant token. *(It's an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",Runeblade Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/LGS039.width-450.png
Reduce to Runechant,reduce-to-runechant-blue,"LGS040, ARC090","Promos, ArcaneRising",Rare,Runeblade,NotTalented,DefenseReaction,,,,,,,3,1,,2,,,,,,,,,,,,,,"Reduce to Runechant costs {r} less to play for each Runechant you control.

Create a Runechant token. *(It's an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",Runeblade Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/LGS040.width-450.png
Oath of the Arknight,oath-of-the-arknight-red,ARC091,ArcaneRising,Rare,Runeblade,NotTalented,Action,,,,,,,1,2,,3,,,,,,,,GoAgain,,,,,,"Your next Runeblade attack this turn gains +3{p}.

Create a Runechant token. *(It's an aura with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*

**Go again**",Runeblade Action,https://storage.googleapis.com/fabmaster/media/images/ARC91.width-450.png
Oath of the Arknight,oath-of-the-arknight-yellow,ARC092,ArcaneRising,Rare,Runeblade,NotTalented,Action,,,,,,,2,2,,3,,,,,,,,GoAgain,,,,,,"Your next Runeblade attack this turn gains +2{p}.

Create a Runechant token. *(It's an aura with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*

**Go again**",Runeblade Action,https://storage.googleapis.com/fabmaster/media/images/ARC92.width-450.png
Oath of the Arknight,oath-of-the-arknight-blue,ARC093,ArcaneRising,Rare,Runeblade,NotTalented,Action,,,,,,,3,2,,3,,,,,,,,GoAgain,,,,,,"Your next Runeblade attack this turn gains +1{p}.

Create a Runechant token. *(It's an aura with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*

**Go again**",Runeblade Action,https://storage.googleapis.com/fabmaster/media/images/ARC93.width-450.png
Amplify the Arknight,amplify-the-arknight-red,ARC094,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,1,3,6,3,,,,,,,,,,,,,,Amplify the Arknight costs {r} less to play for each Runechant you control.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC94.width-450.png
Amplify the Arknight,amplify-the-arknight-yellow,ARC095,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,2,3,5,3,,,,,,,,,,,,,,Amplify the Arknight costs {r} less to play for each Runechant you control.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC95.width-450.png
Amplify the Arknight,amplify-the-arknight-blue,ARC096,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,3,3,4,3,,,,,,,,,,,,,,Amplify the Arknight costs {r} less to play for each Runechant you control.,Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC96.width-450.png
Drawn to the Dark Dimension,drawn-to-the-dark-dimension-red,ARC097,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,1,2,3,3,,,,,,,,,,,,,,"Drawn to the Dark Dimension costs {r} less to play for each Runechant you control.

Draw a card.",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC97.width-450.png
Drawn to the Dark Dimension,drawn-to-the-dark-dimension-yellow,ARC098,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,2,2,2,3,,,,,,,,,,,,,,"Drawn to the Dark Dimension costs {r} less to play for each Runechant you control.

Draw a card.",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC98.width-450.png
Drawn to the Dark Dimension,drawn-to-the-dark-dimension-blue,ARC099,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,3,2,1,3,,,,,,,,,,,,,,"Drawn to the Dark Dimension costs {r} less to play for each Runechant you control.

Draw a card.",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC99.width-450.png
Rune Flash,rune-flash-red,ARC100,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,1,3,4,3,,,,,,,,GoAgain,,,,,,"Rune Flash costs {r} less to play for each Runechant you control.

**Go again**",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC100.width-450.png
Rune Flash,rune-flash-yellow,ARC101,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,2,3,3,3,,,,,,,,GoAgain,,,,,,"Rune Flash costs {r} less to play for each Runechant you control.

**Go again**",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC101.width-450.png
Rune Flash,rune-flash-blue,ARC102,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,3,3,2,3,,,,,,,,GoAgain,,,,,,"Rune Flash costs {r} less to play for each Runechant you control.

**Go again**",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC102.width-450.png
Spellblade Strike,spellblade-strike-red,ARC103,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,1,1,4,3,,,,,,,,,,,,,,"Create a Runechant token. *(It's an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC103.width-450.png
Spellblade Strike,spellblade-strike-yellow,ARC104,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,2,1,3,3,,,,,,,,,,,,,,"Create a Runechant token. *(It's an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC104.width-450.png
Spellblade Strike,spellblade-strike-blue,ARC105,ArcaneRising,Common,Runeblade,NotTalented,Action,Attack,,,,,,3,1,2,3,,,,,,,,,,,,,,"Create a Runechant token. *(It's an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",Runeblade Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC105.width-450.png
Bloodspill Invocation,bloodspill-invocation-red,ARC106,ArcaneRising,Common,Runeblade,NotTalented,Action,Aura,,,,,,1,1,,2,,,,,,,,GoAgain,,,,,,"*(Aura's stay in the arena until they are destroyed.)*

**Go again**

When an attack action card you control hits, destroy Bloodspill Invocation then create 3 Runechant tokens. *(They're auras with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*

When your hero is dealt damage, destroy Bloodspill Invocation.",Runeblade Action – Aura,https://storage.googleapis.com/fabmaster/media/images/ARC106.width-450.png
Bloodspill Invocation,bloodspill-invocation-yellow,ARC107,ArcaneRising,Common,Runeblade,NotTalented,Action,Aura,,,,,,2,1,,2,,,,,,,,GoAgain,,,,,,"*(Aura's stay in the arena until they are destroyed.)*

**Go again**

When an attack action card you control hits, destroy Bloodspill Invocation then create 3 Runechant tokens. *(They're auras with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*

When your hero is dealt damage, destroy Bloodspill Invocation.",Runeblade Action – Aura,https://storage.googleapis.com/fabmaster/media/images/ARC107.width-450.png
Bloodspill Invocation,bloodspill-invocation-blue,ARC108,ArcaneRising,Common,Runeblade,NotTalented,Action,Aura,,,,,,3,1,,2,,,,,,,,GoAgain,,,,,,"*(Aura's stay in the arena until they are destroyed.)*

**Go again**

When an attack action card you control hits, destroy Bloodspill Invocation then create 3 Runechant tokens. *(They're auras with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*

When your hero is dealt damage, destroy Bloodspill Invocation.",Runeblade Action – Aura,https://storage.googleapis.com/fabmaster/media/images/ARC108.width-450.png
Read the Runes,read-the-runes-red,ARC109,ArcaneRising,Common,Runeblade,NotTalented,Action,,,,,,,1,0,,2,,,,,,,,,,,,,,"Create 3 Runechant tokens. *(They're auras with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*",Runeblade Action,https://storage.googleapis.com/fabmaster/media/images/ARC109.width-450.png
Read the Runes,read-the-runes-yellow,ARC110,ArcaneRising,Common,Runeblade,NotTalented,Action,,,,,,,2,0,,2,,,,,,,,,,,,,,"Create 2 Runechant tokens. *(They're auras with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*",Runeblade Action,https://storage.googleapis.com/fabmaster/media/images/ARC110.width-450.png
Read the Runes,read-the-runes-blue,ARC111,ArcaneRising,Common,Runeblade,NotTalented,Action,,,,,,,3,0,,2,,,,,,,,,,,,,,"Create a Runechant token. *(It's an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",Runeblade Action,https://storage.googleapis.com/fabmaster/media/images/ARC111.width-450.png
Runechant,runechant,"ARC112, CRU157, EVR119","ArcaneRising, CrucibleOfWar, Everfest",Token,Runeblade,NotTalented,Token,,,,Aura,,,,,,,,,,,,,,,,,,,,"*(Auras stay in the arena until they are destroyed.)*

When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero",Runeblade Token – Aura,https://storage.googleapis.com/fabmaster/media/images/ARC112.width-450.png
"Kano, Dracai of Aether",kano-dracai-of-aether,"HER012, HER020, ARC113, CRU158","HeroDeck, HeroDeck, ArcaneRising, CrucibleOfWar",Token,Wizard,NotTalented,Hero,,,,,,,,,,,,,,Kano,,30,4,,,,,,,"**Instant** - {r}{r}{r}: Look at the top card of your deck. If it's a 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant.",Wizard Hero,https://storage.googleapis.com/fabmaster/media/images/HER012-P.width-450.png
Kano,kano,"HER016, ARC114","HeroDeck, ArcaneRising",Token,Wizard,NotTalented,Hero,,,,,,,,,,,,,,Kano,TRUE,15,4,,,,,,,"**Instant** - {r}{r}{r}: Look at the top card of your deck. If it's a 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant.",Wizard Hero – Young,https://storage.googleapis.com/fabmaster/media/images/HER016-P.width-450.png
Crucible of Aetherweave,crucible-of-aetherweave,"LGS012, ARC115, CRU159","Promos, ArcaneRising, CrucibleOfWar",Token,Wizard,NotTalented,Weapon,,,,,Staff,TwoHanded,,,,,,,,,,,,,,,,,,"**Once per Turn Instant** - {r}: The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.",Wizard Weapon – Staff (2H),https://storage.googleapis.com/fabmaster/media/images/LGS012-P.width-450.png
Storm Striders,storm-striders,"FAB011, ARC116","Promos, ArcaneRising",Legendary,Wizard,NotTalented,Equipment,,Legs,,,,,,,,0,,,,,,,,ArcaneBarrier,,,,,,"**Instant** - {r}, destroy Storm Striders: You may play your next Wizard 'non-attack' action card this turn as though it were an instant.

**Arcane Barrier 2** *(If your hero would be dealt arcane damage, you may pay {r}{r} instead. If you do, prevent 2 arcane damage that source would deal.)*",Wizard Equipment – Legs,https://storage.googleapis.com/fabmaster/media/images/FAB011-P.width-450.png
Robe of Rapture,robe-of-rapture,ARC117,ArcaneRising,Common,Wizard,NotTalented,Equipment,,Chest,,,,,,,,0,,,,,,,,ArcaneBarrier,,,,,,"**Action** - Destroy Robe of Rapture: Gain {r}{r}{r}.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*",Wizard Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/ARC117.width-450.png
Blazing Aether,blazing-aether-red,ARC118,ArcaneRising,Majestic,Wizard,NotTalented,Action,,,,,,,1,0,,3,,,,,,,,Specialization,,,,Kano,,"**Kano Specialization** *(You may only have Blazing Aether in your deck if your hero is Kano.)*

Deal X arcane damage to target hero, where X is the amount of arcane damage you have dealt to that hero this turn.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC118.width-450.png
Sonic Boom,sonic-boom-yellow,ARC119,ArcaneRising,Majestic,Wizard,NotTalented,Action,,,,,,,2,2,,3,,,,,,,,,,,,,,"Deal 3 arcane damage to target opposing hero.

If Sonic Boom deals damage, look at the top card of your deck. If it's a Wizard 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant and it costs X resource points less to play, where X is the damage dealt by Sonic Boom.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC119.width-450.png
Forked Lightning,forked-lightning-red,ARC120,ArcaneRising,SuperRare,Wizard,NotTalented,Action,,,,,,,1,3,,3,,,,,,,,,,,,,,"Deal 2 arcane damage to target hero.

Deal 2 arcane damage to target hero.

*(Effects that modify damage modify both damage effects of Forked Lightning. Forked Lightning is considered a single source of damage.)*",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC120.width-450.png
Lesson in Lava,lesson-in-lava-yellow,ARC121,ArcaneRising,SuperRare,Wizard,NotTalented,Action,,,,,,,2,1,,3,,,,,,,,Specialization,,,,Kano,,"**Kano Specialization** *(You may only have Lesson in Lava in your deck if your hero is Kano.)*

Deal 3 arcane damage to target opposing hero.

If Lesson in Lava deals damage, you may search your deck for a Wizard card with {r} cost equal to or less than the damage dealt by Lesson in Lava, reveal it, then shuffle your deck and put it on top of your deck.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC121.width-450.png
Tome of Aetherwind,tome-of-aetherwind-red,ARC122,ArcaneRising,SuperRare,Wizard,NotTalented,Action,,,,,,,1,0,,2,,,,,,,,,,,,,,"Choose 2. You may choose the same mode more than once;

- The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.
- Draw a card.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC122.width-450.png
Absorb in Aether,absorb-in-aether-red,ARC123,ArcaneRising,Rare,Wizard,NotTalented,DefenseReaction,,,,,,,1,1,,4,,,,,,,,,,,,,,"The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Wizard Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/ARC123.width-450.png
Absorb in Aether,absorb-in-aether-yellow,ARC124,ArcaneRising,Rare,Wizard,NotTalented,DefenseReaction,,,,,,,2,1,,3,,,,,,,,,,,,,,"The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Wizard Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/ARC124.width-450.png
Absorb in Aether,absorb-in-aether-blue,ARC125,ArcaneRising,Rare,Wizard,NotTalented,DefenseReaction,,,,,,,3,1,,2,,,,,,,,,,,,,,"The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.",Wizard Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/ARC125.width-450.png
Aether Spindle,aether-spindle-red,ARC126,ArcaneRising,Rare,Wizard,NotTalented,Action,,,,,,,1,2,,3,,,,,,,,Opt,,,,,,"Deal 4 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC126.width-450.png
Aether Spindle,aether-spindle-yellow,ARC127,ArcaneRising,Rare,Wizard,NotTalented,Action,,,,,,,2,2,,3,,,,,,,,Opt,,,,,,"Deal 3 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC127.width-450.png
Aether Spindle,aether-spindle-blue,ARC128,ArcaneRising,Rare,Wizard,NotTalented,Action,,,,,,,3,2,,3,,,,,,,,Opt,,,,,,"Deal 2 arcane damage to target opposing hero.

**Opt X**, where X is the damage dealt by Aether Spindle. *(Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.)*",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC128.width-450.png
Stir the Aetherwinds,stir-the-aetherwinds-red,ARC129,ArcaneRising,Rare,Wizard,NotTalented,Action,,,,,,,1,2,,2,,,,,,,,,,,,,Blitz,"You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 3.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC129.width-450.png
Stir the Aetherwinds,stir-the-aetherwinds-yellow,ARC130,ArcaneRising,Rare,Wizard,NotTalented,Action,,,,,,,2,2,,2,,,,,,,,,,,,,Blitz,"You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 2.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC130.width-450.png
Stir the Aetherwinds,stir-the-aetherwinds-blue,ARC131,ArcaneRising,Rare,Wizard,NotTalented,Action,,,,,,,3,2,,2,,,,,,,,,,,,,Blitz,"You may play your next Wizard 'non-attack' action card this turn as though it were an instant and if it has an effect that deals arcane damage, instead that effect deals that much arcane damage plus 1.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC131.width-450.png
Aether Flare,aether-flare-red,ARC132,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,1,1,,3,,,,,,,,,,,,,,"Deal 3 arcane damage to target opposing hero.

The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus X, where X is the damage dealt by Aether Flare.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC132.width-450.png
Aether Flare,aether-flare-yellow,ARC133,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,2,1,,3,,,,,,,,,,,,,,"Deal 2 arcane damage to target opposing hero.

The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus X, where X is the damage dealt by Aether Flare.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC133.width-450.png
Aether Flare,aether-flare-blue,ARC134,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,3,1,,3,,,,,,,,,,,,,,"Deal 1 arcane damage to target opposing hero.

The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus X, where X is the damage dealt by Aether Flare.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC134.width-450.png
Index,index-red,ARC135,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,1,0,,2,,,,,,,,,,,,,,"Look at the top 5 cards of your deck. Put 1 card from among them on top of your deck, and the rest on the bottom of your deck in any order.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC135.width-450.png
Index,index-yellow,ARC136,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,2,0,,2,,,,,,,,,,,,,,"Look at the top 4 cards of your deck. Put 1 card from among them on top of your deck, and the rest on the bottom of your deck in any order.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC136.width-450.png
Index,index-blue,ARC137,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,3,0,,2,,,,,,,,,,,,,,"Look at the top 3 cards of your deck. Put 1 card from among them on top of your deck, and the rest on the bottom of your deck in any order.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC137.width-450.png
Reverberate,reverberate-red,ARC138,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,1,1,,3,,,,,,,,,,,,,,"Deal 3 arcane damage to target opposing hero.

If Reverberate deals damage, you may banish a Wizard 'non-attack' action card from your hand with {r} cost less than or equal to the damage dealt by Reverberate. If you do, you may play it this turn as though it were an instant.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC138.width-450.png
Reverberate,reverberate-yellow,ARC139,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,2,1,,3,,,,,,,,,,,,,,"Deal 2 arcane damage to target opposing hero.

If Reverberate deals damage, you may banish a Wizard 'non-attack' action card from your hand with {r} cost less than or equal to the damage dealt by Reverberate. If you do, you may play it this turn as though it were an instant.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC139.width-450.png
Reverberate,reverberate-blue,ARC140,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,3,1,,3,,,,,,,,,,,,,,"Deal 1 arcane damage to target opposing hero.

If Reverberate deals damage, you may banish a Wizard 'non-attack' action card from your hand with {r} cost less than or equal to the damage dealt by Reverberate. If you do, you may play it this turn as though it were an instant.",Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC140.width-450.png
Scalding Rain,scalding-rain-red,ARC141,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,1,1,,3,,,,,,,,,,,,,,Deal 4 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC141.width-450.png
Scalding Rain,scalding-rain-yellow,ARC142,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,2,1,,3,,,,,,,,,,,,,,Deal 3 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC142.width-450.png
Scalding Rain,scalding-rain-blue,ARC143,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,3,1,,3,,,,,,,,,,,,,,Deal 2 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC143.width-450.png
Zap,zap-red,ARC144,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,1,0,,3,,,,,,,,,,,,,,Deal 3 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC144.width-450.png
Zap,zap-yellow,ARC145,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,2,0,,3,,,,,,,,,,,,,,Deal 2 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC145.width-450.png
Zap,zap-blue,ARC146,ArcaneRising,Common,Wizard,NotTalented,Action,,,,,,,3,0,,3,,,,,,,,,,,,,,Deal 1 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/ARC146.width-450.png
Voltic Bolt,voltic-bolt-red,"LGS016, LGS041, ARC147","Promos, Promos, ArcaneRising",Common,Wizard,NotTalented,Action,,,,,,,1,2,,3,,,,,,,,,,,,,,Deal 5 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/LGS016-P.width-450.png
Voltic Bolt,voltic-bolt-yellow,"LGS042, ARC148","Promos, ArcaneRising",Common,Wizard,NotTalented,Action,,,,,,,2,2,,3,,,,,,,,,,,,,,Deal 4 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/LGS042.width-450.png
Voltic Bolt,voltic-bolt-blue,"LGS043, ARC149","Promos, ArcaneRising",Common,Wizard,NotTalented,Action,,,,,,,3,2,,3,,,,,,,,,,,,,,Deal 3 arcane damage to target hero.,Wizard Action,https://storage.googleapis.com/fabmaster/media/images/LGS043.width-450.png
Arcanite Skullcap,arcanite-skullcap,"FAB007, ARC150, EVR154","Promos, ArcaneRising, Everfest",Legendary,Generic,NotTalented,Equipment,,Head,,,,,,,,1,,,,,,,,"ArcaneBarrier, Battleworn",,,,,,"If you have less {h} than your opponent, Arcanite Skullcap gains +1{d} and **Arcane Barrier 3**. *(If your hero would be dealt arcane damage, you may pay {r}{r}{r} instead. If you do, prevent 3 arcane damage that source would deal.)*

**Battleworn** *(If you defend with Arcanite Skullcap, put a -1{d} counter on it when the combat chain closes.)*",Generic Equipment – Head,https://storage.googleapis.com/fabmaster/media/images/FAB007-P.width-450.png
Talismanic Lens,talismanic-lens,"FAB066, ARC151","Promos, ArcaneRising",Common,Generic,NotTalented,Equipment,,Head,,,,,,,,0,,,,,,,,,,,,,,**Instant** - Destroy Talismanic Lens: **Opt 2** *(Look at the top 2 cards of your deck. You may put them on the top and/or bottom in any order.)*,Generic Equipment – Head,https://storage.googleapis.com/fabmaster/media/images/FAB066.width-450.png
Vest of the First Fist,vest-of-the-first-fist,ARC152,ArcaneRising,Common,Generic,NotTalented,Equipment,,Chest,,,,,,,,0,,,,,,,,,,,,,,"When an attack action card you control hits, you may destroy Vest of the First Fist. If you do, gain {r}{r}.",Generic Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/ARC152.width-450.png
Bracers of Belief,bracers-of-belief,ARC153,ArcaneRising,Common,Generic,NotTalented,Equipment,,Arms,,,,,,,,0,,,,,,,,,,,,,,"**Action** - Destroy Bracers of Belief: Reveal the top card of your deck. If you do, the next attack action card you play this turn, gains +X{p}, where X is 3 minus the pitch value of the card revealed this way. **Go again** *(The pitch value is located in the top left corner of the card.)*",Generic Equipment – Arms,https://storage.googleapis.com/fabmaster/media/images/ARC153.width-450.png
Mage Master Boots,mage-master-boots,"FAB067, ARC154","Promos, ArcaneRising",Common,Generic,NotTalented,Equipment,,Legs,,,,,,,,0,,,,,,,,,,,,,,"**Action** - {r}, destroy Mage Master Boots: The next 'non-attack' action card you play this turn gains **go again. Go again**",Generic Equipment – Legs,https://storage.googleapis.com/fabmaster/media/images/FAB067.width-450.png
Nullrune Hood,nullrune-hood,"FAB068, ARC155","Promos, ArcaneRising",Common,Generic,NotTalented,Equipment,,Head,,,,,,,,0,,,,,,,,ArcaneBarrier,,,,,,"**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*",Generic Equipment – Head,https://storage.googleapis.com/fabmaster/media/images/FAB068.width-450.png
Nullrune Robe,nullrune-robe,"FAB069, ARC156","Promos, ArcaneRising",Common,Generic,NotTalented,Equipment,,Chest,,,,,,,,0,,,,,,,,ArcaneBarrier,,,,,,"**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*",Generic Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/FAB069.width-450.png
Nullrune Gloves,nullrune-gloves,"FAB070, ARC157","Promos, ArcaneRising",Common,Generic,NotTalented,Equipment,,Arms,,,,,,,,0,,,,,,,,ArcaneBarrier,,,,,,"**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*",Generic Equipment – Arms,https://storage.googleapis.com/fabmaster/media/images/FAB070.width-450.png
Nullrune Boots,nullrune-boots,"FAB071, ARC158","Promos, ArcaneRising",Common,Generic,NotTalented,Equipment,,Legs,,,,,,,,0,,,,,,,,ArcaneBarrier,,,,,,"**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*",Generic Equipment – Legs,https://storage.googleapis.com/fabmaster/media/images/FAB071.width-450.png
Command and Conquer,command-and-conquer-red,ARC159,ArcaneRising,Majestic,Generic,NotTalented,Action,Attack,,,,,,1,2,6,3,,,,,,,,,,,,,,"Defense reaction cards can't be played to Command and Conquer's chain link.

If Command and Conquer hits a hero, destroy all cards in their arsenal.",Generic Action – Attack,https://storage.googleapis.com/fabmaster/media/images/ARC159.width-450.png
Art of War,art-of-war-yellow,ARC160,ArcaneRising,Majestic,Generic,NotTalented,Instant,,,,,,,2,1,,,,,,,,,,,,,,,,"Choose 2;

- Attack action cards you control gain +1{p} and +1{d} this turn.
- The next attack action card you play this turn, gains **go again.**
- Until end of turn, you may defend with attack action cards from arsenal.
- You may banish an attack action card from your hand. If you do, draw 2 cards.",Generic Instant,https://storage.googleapis.com/fabmaster/media/images/ARC160.width-450.png
